id,raw_event_id,clean_text,language,translated_text,issue_category,sentiment,urgency,location_text,geo_unit_type,geo_unit_id,trust_score,cluster_id
22,evt_022,"Ward 6 me bijli ka bill zyada aaya, par supply kam",hinglish,"High electricity bill but low supply in Ward 6",electricity,negative,low,Ward 6,ward,ward_6,0.74,cluster_electricity_ward6
23,evt_023,"Roads in Ward 4 have deep craters",en,"Deep craters on roads in Ward 4",roads,negative,high,Ward 4,ward,ward_4,0.93,cluster_roads_ward4
24,evt_024,"वार्ड 3 में सीवेज का पानी सड़क पर",hi,"Sewage water on the road in Ward 3",sewage,negative,medium,Ward 3,ward,ward_3,0.87,cluster_sewage_ward3
25,evt_025,"Ward 5 me healthcare facility not good",en,"Poor healthcare facility in Ward 5",healthcare,negative,low,Ward 5,ward,ward_5,0.82,cluster_healthcare_ward5
26,evt_026,"Garbage truck missing for days in Ward 7",en,"Garbage truck absent for days in Ward 7",garbage,negative,high,Ward 7,ward,ward_7,0.91,cluster_garbage_ward7
27,evt_027,"Ward 2 me water pipeline burst",hinglish,"Water pipeline burst in Ward 2",water,negative,medium,Ward 2,ward,ward_2,0.78,cluster_water_ward2
28,evt_028,"Streetlights not working since a month in Ward 1",en,"Streetlights non-functional for a month in Ward 1",streetlight,negative,high,Ward 1,ward,ward_1,0.84,cluster_streetlight_ward1
29,evt_029,"Ward 3 me open drain dangerous",hinglish,"Open drain dangerous in Ward 3",drainage,negative,medium,Ward 3,ward,ward_3,0.89,cluster_drainage_ward3
30,evt_030,"வார்டு 5-ல் மின்சாரம் தடை",ta,"Power outage in Ward 5",electricity,negative,low,Ward 5,ward,ward_5,0.76,cluster_electricity_ward5
31,evt_031,"Ward 8 me kachra nahi uthaya jaa raha",hinglish,"Garbage not being collected in Ward 8",garbage,negative,high,Ward 8,ward,ward_8,0.95,cluster_garbage_ward8
32,evt_032,"Poor road condition near Ward 4 market",en,"Poor road condition near Ward 4 market",roads,negative,medium,Ward 4,ward,ward_4,0.85,cluster_roads_ward4
33,evt_033,"Ward 6 mein paani ki kami",hinglish,"Water scarcity in Ward 6",water,negative,high,Ward 6,ward,ward_6,0.92,cluster_water_ward6
34,evt_034,"No streetlights in Ward 2 lanes",en,"No streetlights in lanes of Ward 2",streetlight,negative,low,Ward 2,ward,ward_2,0.79,cluster_streetlight_ward2
35,evt_035,"వార్డు 7 లో విద్యుత్ స్తంభం పడిపోయింది",te,"Electric pole fell down in Ward 7",electricity,negative,high,Ward 7,ward,ward_7,0.87,cluster_electricity_ward7
36,evt_036,"Ward 1 me drainage water logging",hinglish,"Drainage water logging in Ward 1",drainage,negative,medium,Ward 1,ward,ward_1,0.83,cluster_drainage_ward1
37,evt_037,"Health centre closed on weekends in Ward 3",en,"Health centre closed on weekends in Ward 3",healthcare,negative,low,Ward 3,ward,ward_3,0.77,cluster_healthcare_ward3
38,evt_038,"Ward 5 mein roads kachche, mud problem",hinglish,"Unpaved roads, mud problem in Ward 5",roads,negative,high,Ward 5,ward,ward_5,0.90,cluster_roads_ward5
39,evt_039,"Sewage smells in Ward 8 colony",en,"Sewage smell in Ward 8 colony",sewage,negative,medium,Ward 8,ward,ward_8,0.81,cluster_sewage_ward8
40,evt_040,"वार्ड 2 में पानी की टंकी लीक",hi,"Water tank leaking in Ward 2",water,negative,high,Ward 2,ward,ward_2,0.86,cluster_water_ward2
41,evt_041,"Ward 6 garbage dumping near school",en,"Garbage dumping near school in Ward 6",garbage,negative,high,Ward 6,ward,ward_6,0.94,cluster_garbage_ward6
42,evt_042,"Ward 3 me streetlight nahi, andhera",hinglish,"No streetlight, darkness in Ward 3",streetlight,negative,medium,Ward 3,ward,ward_3,0.75,cluster_streetlight_ward3
43,evt_043,"வார்டு 4-ல் மருத்துவமனை பணியாளர் பற்றாக்குறை",ta,"Hospital staff shortage in Ward 4",healthcare,negative,low,Ward 4,ward,ward_4,0.78,cluster_healthcare_ward4
44,evt_044,"Power fluctuations damaging appliances in Ward 1",en,"Power fluctuations damaging appliances in Ward 1",electricity,negative,high,Ward 1,ward,ward_1,0.92,cluster_electricity_ward1
45,evt_045,"Ward 7 me nala saaf nahi hua",hinglish,"Drain not cleaned in Ward 7",drainage,negative,medium,Ward 7,ward,ward_7,0.84,cluster_drainage_ward7
46,evt_046,"Roads in Ward 4 have no footpath",en,"No footpath on roads in Ward 4",roads,negative,low,Ward 4,ward,ward_4,0.73,cluster_roads_ward4
47,evt_047,"Ward 5 mein water logging during rain",hinglish,"Water logging during rain in Ward 5",water,negative,high,Ward 5,ward,ward_5,0.89,cluster_water_ward5
48,evt_048,"वार्ड 8 में सीवेज ट्रीटमेंट प्लांट खराब",hi,"Sewage treatment plant malfunction in Ward 8",sewage,negative,medium,Ward 8,ward,ward_8,0.82,cluster_sewage_ward8
49,evt_049,"Ward 2 me bijli ki tarah behaal",hinglish,"Electricity situation terrible in Ward 2",electricity,negative,high,Ward 2,ward,ward_2,0.77,cluster_electricity_ward2
50,evt_050,"Garbage burning causing pollution in Ward 6",en,"Garbage burning causing pollution in Ward 6",garbage,negative,high,Ward 6,ward,ward_6,0.91,cluster_garbage_ward6
51,evt_051,"Ward 3 health centre has no ambulance",en,"No ambulance at Ward 3 health centre",healthcare,negative,medium,Ward 3,ward,ward_3,0.80,cluster_healthcare_ward3
52,evt_052,"వార్డు 1 లో రోడ్లు దెబ్బతిన్నాయి",te,"Roads damaged in Ward 1",roads,negative,low,Ward 1,ward,ward_1,0.86,cluster_roads_ward1
53,evt_053,"Ward 7 me open manhole, child fell",hinglish,"Open manhole in Ward 7, child fell",drainage,negative,high,Ward 7,ward,ward_7,0.96,cluster_drainage_ward7
54,evt_054,"Streetlights not working in Ward 5 main road",en,"Streetlights not working on Ward 5 main road",streetlight,negative,medium,Ward 5,ward,ward_5,0.79,cluster_streetlight_ward5
55,evt_055,"Ward 4 me pani ki supply kam hai",hinglish,"Low water supply in Ward 4",water,negative,high,Ward 4,ward,ward_4,0.85,cluster_water_ward4
56,evt_056,"வார்டு 8-ல் குப்பை தொட்டி நிரம்பியுள்ளது",ta,"Garbage bin overflowing in Ward 8",garbage,negative,medium,Ward 8,ward,ward_8,0.83,cluster_garbage_ward8
57,evt_057,"Frequent transformer blast in Ward 3",en,"Frequent transformer blast in Ward 3",electricity,negative,high,Ward 3,ward,ward_3,0.94,cluster_electricity_ward3
58,evt_058,"Ward 2 me sadak par gaddhe, accident hua",hinglish,"Potholes on road in Ward 2, accident occurred",roads,negative,high,Ward 2,ward,ward_2,0.90,cluster_roads_ward2
59,evt_059,"No proper sanitation in Ward 6 slum",en,"No proper sanitation in Ward 6 slum",sanitation,negative,medium,Ward 6,ward,ward_6,0.81,cluster_sanitation_ward6
60,evt_060,"वार्ड 7 में नाली का पानी घर में घुसा",hi,"Drainage water entered house in Ward 7",drainage,negative,high,Ward 7,ward,ward_7,0.93,cluster_drainage_ward7
61,evt_061,"Ward 1 me streetlight repair pending",hinglish,"Streetlight repair pending in Ward 1",streetlight,negative,low,Ward 1,ward,ward_1,0.76,cluster_streetlight_ward1
62,evt_062,"Health workers on strike in Ward 5",en,"Health workers on strike in Ward 5",healthcare,negative,high,Ward 5,ward,ward_5,0.88,cluster_healthcare_ward5
63,evt_063,"Ward 4 me kachra jala rahe log",hinglish,"People burning garbage in Ward 4",garbage,negative,medium,Ward 4,ward,ward_4,0.77,cluster_garbage_ward4
64,evt_064,"వార్డు 6 లో త్రాగునీరు కలుషితం",te,"Drinking water contaminated in Ward 6",water,negative,high,Ward 6,ward,ward_6,0.95,cluster_water_ward6
65,evt_065,"Roads in Ward 8 have no drainage",en,"No drainage on roads in Ward 8",roads,negative,medium,Ward 8,ward,ward_8,0.82,cluster_roads_ward8
66,evt_066,"Ward 3 me bijli ka pole jhuk raha",hinglish,"Electric pole leaning in Ward 3",electricity,negative,high,Ward 3,ward,ward_3,0.89,cluster_electricity_ward3
67,evt_067,"Sewage leak near Ward 2 temple",en,"Sewage leak near temple in Ward 2",sewage,negative,medium,Ward 2,ward,ward_2,0.84,cluster_sewage_ward2
68,evt_068,"Ward 7 me healthcare staff rude",hinglish,"Rude healthcare staff in Ward 7",healthcare,negative,low,Ward 7,ward,ward_7,0.73,cluster_healthcare_ward7
69,evt_069,"வார்டு 1-ல் தெருவிளக்குகள் இல்லை",ta,"No streetlights in Ward 1",streetlight,negative,high,Ward 1,ward,ward_1,0.86,cluster_streetlight_ward1
70,evt_070,"Garbage strewn all over Ward 5 park",en,"Garbage strewn all over Ward 5 park",garbage,negative,medium,Ward 5,ward,ward_5,0.79,cluster_garbage_ward5
71,evt_071,"Ward 8 me water pressure bahut kam",hinglish,"Very low water pressure in Ward 8",water,negative,high,Ward 8,ward,ward_8,0.92,cluster_water_ward8
72,evt_072,"Roads in Ward 4 dug up for months",en,"Roads dug up for months in Ward 4",roads,negative,high,Ward 4,ward,ward_4,0.87,cluster_roads_ward4
73,evt_073,"वार्ड 3 में बिजली के तार खुले",hi,"Open electrical wires in Ward 3",electricity,negative,high,Ward 3,ward,ward_3,0.94,cluster_electricity_ward3
74,evt_074,"Ward 6 me nali block, mosquito",hinglish,"Blocked drain in Ward 6, mosquitoes",drainage,negative,medium,Ward 6,ward,ward_6,0.80,cluster_drainage_ward6
75,evt_075,"Health centre lacks emergency services in Ward 2",en,"Health centre lacks emergency services in Ward 2",healthcare,negative,low,Ward 2,ward,ward_2,0.75,cluster_healthcare_ward2
76,evt_076,"Ward 7 mein garbage truck skip kar raha",hinglish,"Garbage truck skipping in Ward 7",garbage,negative,high,Ward 7,ward,ward_7,0.91,cluster_garbage_ward7
77,evt_077,"వార్డు 5 లో మురికి కాలువ",te,"Sewage drain in Ward 5",sewage,negative,medium,Ward 5,ward,ward_5,0.83,cluster_sewage_ward5
78,evt_078,"Streetlights not working near Ward 1 school",en,"Streetlights not working near Ward 1 school",streetlight,negative,high,Ward 1,ward,ward_1,0.88,cluster_streetlight_ward1
79,evt_079,"Ward 4 me roads par water logging barish mein",hinglish,"Water logging on roads in Ward 4 during rain",water,negative,high,Ward 4,ward,ward_4,0.85,cluster_water_ward4
80,evt_080,"No doctor at night in Ward 8 hospital",en,"No doctor at night in Ward 8 hospital",healthcare,negative,medium,Ward 8,ward,ward_8,0.79,cluster_healthcare_ward8
81,evt_081,"Ward 3 me bijli ki samasya roz",hinglish,"Electricity problem daily in Ward 3",electricity,negative,high,Ward 3,ward,ward_3,0.93,cluster_electricity_ward3
82,evt_082,"வார்டு 6-ல் குப்பை மேலாண்மை இல்லை",ta,"No garbage management in Ward 6",garbage,negative,low,Ward 6,ward,ward_6,0.81,cluster_garbage_ward6
83,evt_083,"Sewage overflow onto streets in Ward 2",en,"Sewage overflow onto streets in Ward 2",sewage,negative,high,Ward 2,ward,ward_2,0.90,cluster_sewage_ward2
84,evt_084,"Ward 5 me roads pe gaddhe, bike fall",hinglish,"Potholes on roads in Ward 5, bike fell",roads,negative,medium,Ward 5,ward,ward_5,0.86,cluster_roads_ward5
85,evt_085,"Water supply only for 1 hour in Ward 7",en,"Water supply only for one hour in Ward 7",water,negative,high,Ward 7,ward,ward_7,0.94,cluster_water_ward7
86,evt_086,"वार्ड 4 में नाली सफाई नहीं",hi,"Drain not cleaned in Ward 4",drainage,negative,medium,Ward 4,ward,ward_4,0.77,cluster_drainage_ward4
87,evt_087,"Ward 1 me streetlight repair kaam slow",hinglish,"Streetlight repair work slow in Ward 1",streetlight,negative,low,Ward 1,ward,ward_1,0.74,cluster_streetlight_ward1
88,evt_088,"Health centre in Ward 3 lacks basic medicines",en,"Health centre in Ward 3 lacks basic medicines",healthcare,negative,high,Ward 3,ward,ward_3,0.89,cluster_healthcare_ward3
89,evt_089,"వార్డు 8 లో విద్యుత్ సరఫరా లేదు",te,"No electricity supply in Ward 8",electricity,negative,medium,Ward 8,ward,ward_8,0.78,cluster_electricity_ward8
90,evt_090,"Ward 6 me garbage dump near river",hinglish,"Garbage dump near river in Ward 6",garbage,negative,high,Ward 6,ward,ward_6,0.92,cluster_garbage_ward6
91,evt_091,"Roads in Ward 7 full of mud",en,"Roads full of mud in Ward 7",roads,negative,medium,Ward 7,ward,ward_7,0.80,cluster_roads_ward7
92,evt_092,"Ward 2 me water tanker nahi aata",hinglish,"Water tanker does not come in Ward 2",water,negative,high,Ward 2,ward,ward_2,0.87,cluster_water_ward2
93,evt_093,"வார்டு 4-ல் சாக்கடை தடை",ta,"Drainage blockage in Ward 4",drainage,negative,medium,Ward 4,ward,ward_4,0.82,cluster_drainage_ward4
94,evt_094,"No streetlights in Ward 5 colony for safety",en,"No streetlights in Ward 5 colony, safety concern",streetlight,negative,high,Ward 5,ward,ward_5,0.95,cluster_streetlight_ward5
95,evt_095,"Ward 3 health centre understaffed",en,"Health centre understaffed in Ward 3",healthcare,negative,low,Ward 3,ward,ward_3,0.76,cluster_healthcare_ward3
96,evt_096,"Ward 8 me bijli ki line damage",hinglish,"Electric line damage in Ward 8",electricity,negative,high,Ward 8,ward,ward_8,0.84,cluster_electricity_ward8
97,evt_097,"Sewage water mixing with drinking water in Ward 1",en,"Sewage water mixing with drinking water in Ward 1",sewage,negative,high,Ward 1,ward,ward_1,0.97,cluster_sewage_ward1
98,evt_098,"वार्ड 5 में कचरा जलाने से बीमारी",hi,"Disease due to garbage burning in Ward 5",garbage,negative,medium,Ward 5,ward,ward_5,0.88,cluster_garbage_ward5
99,evt_099,"Ward 6 me roads repair nahi",hinglish,"Roads not repaired in Ward 6",roads,negative,high,Ward 6,ward,ward_6,0.81,cluster_roads_ward6
100,evt_100,"Water pipeline leak wasting water in Ward 4",en,"Water pipeline leak wasting water in Ward 4",water,negative,medium,Ward 4,ward,ward_4,0.79,cluster_water_ward4
101,evt_101,"Ward 7 me open drain se badbu",hinglish,"Foul smell from open drain in Ward 7",drainage,negative,high,Ward 7,ward,ward_7,0.86,cluster_drainage_ward7
102,evt_102,"வார்டு 2-ல் மின் தூண் சாய்ந்தது",ta,"Electric pole tilted in Ward 2",electricity,negative,low,Ward 2,ward,ward_2,0.83,cluster_electricity_ward2
103,evt_103,"No sanitation workers in Ward 3",en,"No sanitation workers in Ward 3",sanitation,negative,high,Ward 3,ward,ward_3,0.90,cluster_sanitation_ward3
104,evt_104,"Ward 8 me streetlight nahi, theft ho raha",hinglish,"No streetlight in Ward 8, theft happening",streetlight,negative,high,Ward 8,ward,ward_8,0.92,cluster_streetlight_ward8
105,evt_105,"Health centre in Ward 6 lacks maternity care",en,"Health centre in Ward 6 lacks maternity care",healthcare,negative,medium,Ward 6,ward,ward_6,0.85,cluster_healthcare_ward6
106,evt_106,"వార్డు 7 లో రోడ్లు మరమ్మత్తు లేదు",te,"Roads not repaired in Ward 7",roads,negative,high,Ward 7,ward,ward_7,0.88,cluster_roads_ward7
107,evt_107,"Ward 1 me pani ki supply ganda",hinglish,"Dirty water supply in Ward 1",water,negative,high,Ward 1,ward,ward_1,0.94,cluster_water_ward1
108,evt_108,"Sewage treatment plant non-functional in Ward 5",en,"Sewage treatment plant non-functional in Ward 5",sewage,negative,medium,Ward 5,ward,ward_5,0.80,cluster_sewage_ward5
109,evt_109,"Ward 4 me bijli ka bill galat",hinglish,"Wrong electricity bill in Ward 4",electricity,negative,low,Ward 4,ward,ward_4,0.78,cluster_electricity_ward4
110,evt_110,"Garbage dumped in open near Ward 2 school",en,"Garbage dumped in open near Ward 2 school",garbage,negative,high,Ward 2,ward,ward_2,0.91,cluster_garbage_ward2
111,evt_111,"वार्ड 3 में स्ट्रीट लाइट नहीं, अंधेरा",hi,"No streetlight in Ward 3, darkness",streetlight,negative,medium,Ward 3,ward,ward_3,0.82,cluster_streetlight_ward3
112,evt_112,"Ward 8 me healthcare facility door step nahi",hinglish,"Healthcare facility not at doorstep in Ward 8",healthcare,negative,high,Ward 8,ward,ward_8,0.86,cluster_healthcare_ward8
113,evt_113,"Water logging in Ward 6 during light rain",en,"Water logging in Ward 6 even during light rain",water,negative,high,Ward 6,ward,ward_6,0.89,cluster_water_ward6
114,evt_114,"வார்டு 1-ல் கழிவு நீர் தேங்கி நிற்கிறது",ta,"Sewage water stagnant in Ward 1",sewage,negative,medium,Ward 1,ward,ward_1,0.84,cluster_sewage_ward1
115,evt_115,"Roads in Ward 7 have no markings",en,"No road markings in Ward 7",roads,negative,low,Ward 7,ward,ward_7,0.75,cluster_roads_ward7
116,evt_116,"Ward 4 me drainage system jam",hinglish,"Drainage system jammed in Ward 4",drainage,negative,high,Ward 4,ward,ward_4,0.87,cluster_drainage_ward4
117,evt_117,"No power backup at Ward 5 health centre",en,"No power backup at Ward 5 health centre",healthcare,negative,medium,Ward 5,ward,ward_5,0.79,cluster_healthcare_ward5
118,evt_118,"Ward 2 me streetlight repair done but not working",hinglish,"Streetlight repaired but still not working in Ward 2",streetlight,negative,high,Ward 2,ward,ward_2,0.82,cluster_streetlight_ward2
119,evt_119,"వార్డు 3 లో విద్యుత్ స్తంభం మంటలు",te,"Electric pole on fire in Ward 3",electricity,negative,high,Ward 3,ward,ward_3,0.96,cluster_electricity_ward3
120,evt_120,"Garbage segregation not done in Ward 6",en,"Garbage segregation not done in Ward 6",garbage,negative,low,Ward 6,ward,ward_6,0.77,cluster_garbage_ward6
121,evt_121,"Ward 8 me nala saaf nahi, beemari phail rahi",hinglish,"Drain not cleaned in Ward 8, disease spreading",drainage,negative,high,Ward 8,ward,ward_8,0.93,cluster_drainage_ward8
122,evt_122,"वार्ड 4 में पानी की टंकी से बदबू",hi,"Foul smell from water tank in Ward 4",water,negative,medium,Ward 4,ward,ward_4,0.80,cluster_water_ward4
123,evt_123,"No proper road in Ward 1 colony",en,"No proper road in Ward 1 colony",roads,negative,high,Ward 1,ward,ward_1,0.91,cluster_roads_ward1
124,evt_124,"Ward 7 me bijli ka transformer blast",hinglish,"Transformer blast in Ward 7",electricity,negative,high,Ward 7,ward,ward_7,0.95,cluster_electricity_ward7
125,evt_125,"வார்டு 5-ல் சுகாதார மையம் மூடப்பட்டது",ta,"Health centre closed in Ward 5",healthcare,negative,medium,Ward 5,ward,ward_5,0.83,cluster_healthcare_ward5
126,evt_126,"Sewage leak in Ward 2 causing health issues",en,"Sewage leak in Ward 2 causing health issues",sewage,negative,high,Ward 2,ward,ward_2,0.89,cluster_sewage_ward2
127,evt_127,"Ward 3 me garbage collection irregular",hinglish,"Irregular garbage collection in Ward 3",garbage,negative,low,Ward 3,ward,ward_3,0.76,cluster_garbage_ward3
128,evt_128,"Streetlights not working in Ward 8 main bazaar",en,"Streetlights not working in Ward 8 main bazaar",streetlight,negative,high,Ward 8,ward,ward_8,0.88,cluster_streetlight_ward8
129,evt_129,"Water quality bad in Ward 6",en,"Poor water quality in Ward 6",water,negative,medium,Ward 6,ward,ward_6,0.85,cluster_water_ward6
130,evt_130,"वार्ड 7 में डॉक्टर नहीं मिलते",hi,"Doctors not available in Ward 7",healthcare,negative,high,Ward 7,ward,ward_7,0.92,cluster_healthcare_ward7
131,evt_131,"Ward 4 me drainage construction incomplete",hinglish,"Drainage construction incomplete in Ward 4",drainage,negative,medium,Ward 4,ward,ward_4,0.78,cluster_drainage_ward4
132,evt_132,"Roads in Ward 5 have no proper lighting",en,"No proper lighting on roads in Ward 5",roads,negative,low,Ward 5,ward,ward_5,0.74,cluster_roads_ward5
133,evt_133,"Ward 1 me bijli ki wire tuti",hinglish,"Electric wire broken in Ward 1",electricity,negative,high,Ward 1,ward,ward_1,0.86,cluster_electricity_ward1
134,evt_134,"வார்டு 8-ல் குப்பை சேகரிப்பு இல்லை",ta,"No garbage collection in Ward 8",garbage,negative,high,Ward 8,ward,ward_8,0.90,cluster_garbage_ward8
135,evt_135,"Sewage flowing openly in Ward 3",en,"Sewage flowing openly in Ward 3",sewage,negative,medium,Ward 3,ward,ward_3,0.84,cluster_sewage_ward3
136,evt_136,"Ward 2 me streetlight repair mein late",hinglish,"Delay in streetlight repair in Ward 2",streetlight,negative,low,Ward 2,ward,ward_2,0.79,cluster_streetlight_ward2
137,evt_137,"Health centre in Ward 4 has no X-ray facility",en,"Health centre in Ward 4 has no X-ray facility",healthcare,negative,high,Ward 4,ward,ward_4,0.87,cluster_healthcare_ward4
138,evt_138,"Water supply contaminated in Ward 5",en,"Water supply contaminated in Ward 5",water,negative,high,Ward 5,ward,ward_5,0.93,cluster_water_ward5
139,evt_139,"वार्ड 6 में नाली का पानी रुका हुआ",hi,"Drainage water stagnant in Ward 6",drainage,negative,medium,Ward 6,ward,ward_6,0.81,cluster_drainage_ward6
140,evt_140,"Ward 7 me roads pe kachra phaila",hinglish,"Garbage spread on roads in Ward 7",garbage,negative,high,Ward 7,ward,ward_7,0.88,cluster_garbage_ward7
141,evt_141,"No streetlights in Ward 3 causing accidents",en,"No streetlights in Ward 3 causing accidents",streetlight,negative,high,Ward 3,ward,ward_3,0.94,cluster_streetlight_ward3
142,evt_142,"Ward 1 me bijli ka voltage unstable",hinglish,"Unstable voltage in Ward 1",electricity,negative,medium,Ward 1,ward,ward_1,0.82,cluster_electricity_ward1
143,evt_143,"வார்டு 2-ல் சுகாதார பணியாளர்கள் வேலைநிறுத்தம்",ta,"Health workers strike in Ward 2",healthcare,negative,high,Ward 2,ward,ward_2,0.85,cluster_healthcare_ward2
144,evt_144,"Sewage pipeline broken in Ward 6",en,"Sewage pipeline broken in Ward 6",sewage,negative,medium,Ward 6,ward,ward_6,0.80,cluster_sewage_ward6
145,evt_145,"Ward 8 me water tanker paani nahi",hinglish,"Water tanker no water in Ward 8",water,negative,high,Ward 8,ward,ward_8,0.91,cluster_water_ward8
146,evt_146,"Roads in Ward 4 have no drainage system",en,"No drainage system on roads in Ward 4",roads,negative,low,Ward 4,ward,ward_4,0.77,cluster_roads_ward4
147,evt_147,"Ward 5 me streetlight nahi, safe nahi",hinglish,"No streetlight in Ward 5, not safe",streetlight,negative,high,Ward 5,ward,ward_5,0.96,cluster_streetlight_ward5
148,evt_148,"वार्ड 3 में कचरा डंपिंग यार्ड खराब",hi,"Garbage dumping yard bad in Ward 3",garbage,negative,medium,Ward 3,ward,ward_3,0.83,cluster_garbage_ward3
149,evt_149,"Health centre in Ward 7 lacks diagnostic facilities",en,"Health centre in Ward 7 lacks diagnostic facilities",healthcare,negative,high,Ward 7,ward,ward_7,0.89,cluster_healthcare_ward7
150,evt_150,"Ward 2 me drainage water logging se mosquito",hinglish,"Mosquitoes due to drainage water logging in Ward 2",drainage,negative,high,Ward 2,ward,ward_2,0.86,cluster_drainage_ward2
151,evt_151,"Water supply irregular in Ward 1",en,"Irregular water supply in Ward 1",water,negative,medium,Ward 1,ward,ward_1,0.78,cluster_water_ward1
152,evt_152,"Ward 6 me bijli ka bill jyada, supply kam",hinglish,"High electricity bill but low supply in Ward 6",electricity,negative,low,Ward 6,ward,ward_6,0.75,cluster_electricity_ward6
153,evt_153,"வார்டு 4-ல் சாலை பழுது நீடிக்கிறது",ta,"Road repair prolonged in Ward 4",roads,negative,high,Ward 4,ward,ward_4,0.87,cluster_roads_ward4
154,evt_154,"Sewage smell in Ward 5 entire area",en,"Sewage smell in entire Ward 5 area",sewage,negative,medium,Ward 5,ward,ward_5,0.82,cluster_sewage_ward5
155,evt_155,"Ward 3 me streetlight ki maintenance nahi",hinglish,"No streetlight maintenance in Ward 3",streetlight,negative,high,Ward 3,ward,ward_3,0.84,cluster_streetlight_ward3
156,evt_156,"No garbage bins in Ward 8 public places",en,"No garbage bins in public places in Ward 8",garbage,negative,low,Ward 8,ward,ward_8,0.79,cluster_garbage_ward8
157,evt_157,"वार्ड 1 में नाली सफाई के बाद भी बदबू",hi,"Foul smell even after drain cleaning in Ward 1",drainage,negative,medium,Ward 1,ward,ward_1,0.80,cluster_drainage_ward1
158,evt_158,"Health centre in Ward 2 lacks oxygen cylinders",en,"Health centre in Ward 2 lacks oxygen cylinders",healthcare,negative,high,Ward 2,ward,ward_2,0.92,cluster_healthcare_ward2
