id,raw_event_id,clean_text,language,translated_text,issue_category,sentiment,urgency,location_text,geo_unit_type,geo_unit_id,trust_score,cluster_id
16,evt_016,Ward 3 me roads problem hai,hinglish,roads issue reported in Ward 3,roads,negative,high,Ward 3,ward,ward_3,0.78,cluster_roads_ward3
17,evt_017,electricity issue reported in Ward 4,en,electricity issue reported in Ward 4,electricity,negative,medium,Ward 4,ward,ward_4,0.77,cluster_electricity_ward4
18,evt_018,sanitation issue reported in Ward 1,en,sanitation issue reported in Ward 1,sanitation,negative,medium,Ward 1,ward,ward_1,0.77,cluster_sanitation_ward1
19,evt_019,Ward 8 me water problem hai,hinglish,water issue reported in Ward 8,water,negative,low,Ward 8,ward,ward_8,0.82,cluster_water_ward8
20,evt_020,Ward 7 me sanitation problem hai,hinglish,sanitation issue reported in Ward 7,sanitation,negative,medium,Ward 7,ward,ward_7,0.88,cluster_sanitation_ward7
21,evt_021,Ward 3 me electricity problem hai,hinglish,electricity issue reported in Ward 3,electricity,negative,medium,Ward 3,ward,ward_3,0.72,cluster_electricity_ward3
22,evt_022,healthcare issue reported in Ward 8,en,healthcare issue reported in Ward 8,healthcare,negative,low,Ward 8,ward,ward_8,0.82,cluster_healthcare_ward8
23,evt_023,healthcare issue reported in Ward 6,en,healthcare issue reported in Ward 6,healthcare,negative,high,Ward 6,ward,ward_6,0.74,cluster_healthcare_ward6
24,evt_024,water issue reported in Ward 7,en,water issue reported in Ward 7,water,negative,low,Ward 7,ward,ward_7,0.85,cluster_water_ward7
25,evt_025,roads issue reported in Ward 2,en,roads issue reported in Ward 2,roads,negative,low,Ward 2,ward,ward_2,0.85,cluster_roads_ward2
26,evt_026,electricity issue reported in Ward 8,en,electricity issue reported in Ward 8,electricity,negative,high,Ward 8,ward,ward_8,0.93,cluster_electricity_ward8
27,evt_027,Ward 4 me water problem hai,hinglish,water issue reported in Ward 4,water,negative,low,Ward 4,ward,ward_4,0.87,cluster_water_ward4
28,evt_028,Ward 3 me roads problem hai,hinglish,roads issue reported in Ward 3,roads,negative,low,Ward 3,ward,ward_3,0.79,cluster_roads_ward3
29,evt_029,sanitation issue reported in Ward 3,en,sanitation issue reported in Ward 3,sanitation,negative,high,Ward 3,ward,ward_3,0.74,cluster_sanitation_ward3
30,evt_030,Ward 6 me healthcare problem hai,hinglish,healthcare issue reported in Ward 6,healthcare,negative,low,Ward 6,ward,ward_6,0.89,cluster_healthcare_ward6
31,evt_031,sanitation issue reported in Ward 2,en,sanitation issue reported in Ward 2,sanitation,negative,low,Ward 2,ward,ward_2,0.83,cluster_sanitation_ward2
32,evt_032,Ward 5 me roads problem hai,hinglish,roads issue reported in Ward 5,roads,negative,high,Ward 5,ward,ward_5,0.78,cluster_roads_ward5
33,evt_033,healthcare issue reported in Ward 1,en,healthcare issue reported in Ward 1,healthcare,negative,low,Ward 1,ward,ward_1,0.93,cluster_healthcare_ward1
34,evt_034,healthcare issue reported in Ward 7,en,healthcare issue reported in Ward 7,healthcare,negative,high,Ward 7,ward,ward_7,0.84,cluster_healthcare_ward7
35,evt_035,healthcare issue reported in Ward 1,en,healthcare issue reported in Ward 1,healthcare,negative,low,Ward 1,ward,ward_1,0.87,cluster_healthcare_ward1
36,evt_036,Ward 2 me healthcare problem hai,hinglish,healthcare issue reported in Ward 2,healthcare,negative,low,Ward 2,ward,ward_2,0.89,cluster_healthcare_ward2
37,evt_037,healthcare issue reported in Ward 4,en,healthcare issue reported in Ward 4,healthcare,negative,low,Ward 4,ward,ward_4,0.79,cluster_healthcare_ward4
38,evt_038,electricity issue reported in Ward 4,en,electricity issue reported in Ward 4,electricity,negative,high,Ward 4,ward,ward_4,0.84,cluster_electricity_ward4
39,evt_039,water issue reported in Ward 4,en,water issue reported in Ward 4,water,negative,low,Ward 4,ward,ward_4,0.84,cluster_water_ward4
40,evt_040,Ward 3 me electricity problem hai,hinglish,electricity issue reported in Ward 3,electricity,negative,low,Ward 3,ward,ward_3,0.76,cluster_electricity_ward3
41,evt_041,electricity issue reported in Ward 7,en,electricity issue reported in Ward 7,electricity,negative,high,Ward 7,ward,ward_7,0.76,cluster_electricity_ward7
42,evt_042,water issue reported in Ward 3,en,water issue reported in Ward 3,water,negative,medium,Ward 3,ward,ward_3,0.73,cluster_water_ward3
43,evt_043,electricity issue reported in Ward 8,en,electricity issue reported in Ward 8,electricity,negative,low,Ward 8,ward,ward_8,0.75,cluster_electricity_ward8
44,evt_044,Ward 5 me water problem hai,hinglish,water issue reported in Ward 5,water,negative,low,Ward 5,ward,ward_5,0.71,cluster_water_ward5
45,evt_045,roads issue reported in Ward 8,en,roads issue reported in Ward 8,roads,negative,medium,Ward 8,ward,ward_8,0.75,cluster_roads_ward8
46,evt_046,roads issue reported in Ward 6,en,roads issue reported in Ward 6,roads,negative,low,Ward 6,ward,ward_6,0.82,cluster_roads_ward6
47,evt_047,healthcare issue reported in Ward 1,en,healthcare issue reported in Ward 1,healthcare,negative,low,Ward 1,ward,ward_1,0.86,cluster_healthcare_ward1
48,evt_048,water issue reported in Ward 3,en,water issue reported in Ward 3,water,negative,medium,Ward 3,ward,ward_3,0.93,cluster_water_ward3
49,evt_049,electricity issue reported in Ward 4,en,electricity issue reported in Ward 4,electricity,negative,medium,Ward 4,ward,ward_4,0.7,cluster_electricity_ward4
50,evt_050,Ward 2 me electricity problem hai,hinglish,electricity issue reported in Ward 2,electricity,negative,low,Ward 2,ward,ward_2,0.81,cluster_electricity_ward2
51,evt_051,Ward 1 me water problem hai,hinglish,water issue reported in Ward 1,water,negative,medium,Ward 1,ward,ward_1,0.91,cluster_water_ward1
52,evt_052,Ward 4 me electricity problem hai,hinglish,electricity issue reported in Ward 4,electricity,negative,high,Ward 4,ward,ward_4,0.72,cluster_electricity_ward4
53,evt_053,Ward 2 me roads problem hai,hinglish,roads issue reported in Ward 2,roads,negative,low,Ward 2,ward,ward_2,0.84,cluster_roads_ward2
54,evt_054,electricity issue reported in Ward 7,en,electricity issue reported in Ward 7,electricity,negative,high,Ward 7,ward,ward_7,0.77,cluster_electricity_ward7
55,evt_055,electricity issue reported in Ward 1,en,electricity issue reported in Ward 1,electricity,negative,low,Ward 1,ward,ward_1,0.7,cluster_electricity_ward1
56,evt_056,Ward 7 me sanitation problem hai,hinglish,sanitation issue reported in Ward 7,sanitation,negative,low,Ward 7,ward,ward_7,0.78,cluster_sanitation_ward7
57,evt_057,Ward 1 me roads problem hai,hinglish,roads issue reported in Ward 1,roads,negative,medium,Ward 1,ward,ward_1,0.79,cluster_roads_ward1
58,evt_058,Ward 3 me roads problem hai,hinglish,roads issue reported in Ward 3,roads,negative,medium,Ward 3,ward,ward_3,0.73,cluster_roads_ward3
59,evt_059,electricity issue reported in Ward 8,en,electricity issue reported in Ward 8,electricity,negative,low,Ward 8,ward,ward_8,0.87,cluster_electricity_ward8
60,evt_060,electricity issue reported in Ward 5,en,electricity issue reported in Ward 5,electricity,negative,high,Ward 5,ward,ward_5,0.86,cluster_electricity_ward5
61,evt_061,Ward 3 me electricity problem hai,hinglish,electricity issue reported in Ward 3,electricity,negative,low,Ward 3,ward,ward_3,0.94,cluster_electricity_ward3
62,evt_062,Ward 1 me water problem hai,hinglish,water issue reported in Ward 1,water,negative,high,Ward 1,ward,ward_1,0.79,cluster_water_ward1
63,evt_063,healthcare issue reported in Ward 8,en,healthcare issue reported in Ward 8,healthcare,negative,medium,Ward 8,ward,ward_8,0.7,cluster_healthcare_ward8
64,evt_064,water issue reported in Ward 6,en,water issue reported in Ward 6,water,negative,medium,Ward 6,ward,ward_6,0.86,cluster_water_ward6
65,evt_065,roads issue reported in Ward 2,en,roads issue reported in Ward 2,roads,negative,low,Ward 2,ward,ward_2,0.79,cluster_roads_ward2
66,evt_066,roads issue reported in Ward 2,en,roads issue reported in Ward 2,roads,negative,low,Ward 2,ward,ward_2,0.81,cluster_roads_ward2
67,evt_067,sanitation issue reported in Ward 8,en,sanitation issue reported in Ward 8,sanitation,negative,low,Ward 8,ward,ward_8,0.72,cluster_sanitation_ward8
68,evt_068,healthcare issue reported in Ward 4,en,healthcare issue reported in Ward 4,healthcare,negative,medium,Ward 4,ward,ward_4,0.78,cluster_healthcare_ward4
69,evt_069,roads issue reported in Ward 8,en,roads issue reported in Ward 8,roads,negative,medium,Ward 8,ward,ward_8,0.9,cluster_roads_ward8
70,evt_070,Ward 2 me roads problem hai,hinglish,roads issue reported in Ward 2,roads,negative,high,Ward 2,ward,ward_2,0.88,cluster_roads_ward2
71,evt_071,Ward 4 me healthcare problem hai,hinglish,healthcare issue reported in Ward 4,healthcare,negative,high,Ward 4,ward,ward_4,0.71,cluster_healthcare_ward4
72,evt_072,healthcare issue reported in Ward 1,en,healthcare issue reported in Ward 1,healthcare,negative,high,Ward 1,ward,ward_1,0.92,cluster_healthcare_ward1
73,evt_073,Ward 2 me healthcare problem hai,hinglish,healthcare issue reported in Ward 2,healthcare,negative,medium,Ward 2,ward,ward_2,0.88,cluster_healthcare_ward2
74,evt_074,Ward 3 me healthcare problem hai,hinglish,healthcare issue reported in Ward 3,healthcare,negative,low,Ward 3,ward,ward_3,0.9,cluster_healthcare_ward3
75,evt_075,electricity issue reported in Ward 7,en,electricity issue reported in Ward 7,electricity,negative,medium,Ward 7,ward,ward_7,0.73,cluster_electricity_ward7
76,evt_076,electricity issue reported in Ward 6,en,electricity issue reported in Ward 6,electricity,negative,medium,Ward 6,ward,ward_6,0.89,cluster_electricity_ward6
77,evt_077,Ward 5 me roads problem hai,hinglish,roads issue reported in Ward 5,roads,negative,high,Ward 5,ward,ward_5,0.77,cluster_roads_ward5
78,evt_078,Ward 5 me healthcare problem hai,hinglish,healthcare issue reported in Ward 5,healthcare,negative,low,Ward 5,ward,ward_5,0.73,cluster_healthcare_ward5
79,evt_079,Ward 7 me sanitation problem hai,hinglish,sanitation issue reported in Ward 7,sanitation,negative,medium,Ward 7,ward,ward_7,0.79,cluster_sanitation_ward7
80,evt_080,Ward 6 me roads problem hai,hinglish,roads issue reported in Ward 6,roads,negative,medium,Ward 6,ward,ward_6,0.82,cluster_roads_ward6
81,evt_081,Ward 2 me healthcare problem hai,hinglish,healthcare issue reported in Ward 2,healthcare,negative,low,Ward 2,ward,ward_2,0.8,cluster_healthcare_ward2
82,evt_082,Ward 1 me electricity problem hai,hinglish,electricity issue reported in Ward 1,electricity,negative,high,Ward 1,ward,ward_1,0.87,cluster_electricity_ward1
83,evt_083,Ward 4 me water problem hai,hinglish,water issue reported in Ward 4,water,negative,high,Ward 4,ward,ward_4,0.74,cluster_water_ward4
84,evt_084,Ward 4 me water problem hai,hinglish,water issue reported in Ward 4,water,negative,medium,Ward 4,ward,ward_4,0.8,cluster_water_ward4
85,evt_085,Ward 5 me water problem hai,hinglish,water issue reported in Ward 5,water,negative,low,Ward 5,ward,ward_5,0.86,cluster_water_ward5
86,evt_086,Ward 5 me healthcare problem hai,hinglish,healthcare issue reported in Ward 5,healthcare,negative,low,Ward 5,ward,ward_5,0.88,cluster_healthcare_ward5
87,evt_087,Ward 4 me roads problem hai,hinglish,roads issue reported in Ward 4,roads,negative,high,Ward 4,ward,ward_4,0.89,cluster_roads_ward4
88,evt_088,Ward 4 me roads problem hai,hinglish,roads issue reported in Ward 4,roads,negative,medium,Ward 4,ward,ward_4,0.7,cluster_roads_ward4
89,evt_089,water issue reported in Ward 2,en,water issue reported in Ward 2,water,negative,low,Ward 2,ward,ward_2,0.92,cluster_water_ward2
90,evt_090,healthcare issue reported in Ward 8,en,healthcare issue reported in Ward 8,healthcare,negative,high,Ward 8,ward,ward_8,0.77,cluster_healthcare_ward8
91,evt_091,sanitation issue reported in Ward 7,en,sanitation issue reported in Ward 7,sanitation,negative,medium,Ward 7,ward,ward_7,0.94,cluster_sanitation_ward7
92,evt_092,electricity issue reported in Ward 2,en,electricity issue reported in Ward 2,electricity,negative,high,Ward 2,ward,ward_2,0.82,cluster_electricity_ward2
93,evt_093,healthcare issue reported in Ward 6,en,healthcare issue reported in Ward 6,healthcare,negative,high,Ward 6,ward,ward_6,0.79,cluster_healthcare_ward6
94,evt_094,healthcare issue reported in Ward 4,en,healthcare issue reported in Ward 4,healthcare,negative,high,Ward 4,ward,ward_4,0.8,cluster_healthcare_ward4
95,evt_095,Ward 5 me water problem hai,hinglish,water issue reported in Ward 5,water,negative,high,Ward 5,ward,ward_5,0.81,cluster_water_ward5
96,evt_096,Ward 8 me roads problem hai,hinglish,roads issue reported in Ward 8,roads,negative,low,Ward 8,ward,ward_8,0.81,cluster_roads_ward8
97,evt_097,Ward 6 me healthcare problem hai,hinglish,healthcare issue reported in Ward 6,healthcare,negative,medium,Ward 6,ward,ward_6,0.88,cluster_healthcare_ward6
98,evt_098,Ward 5 me roads problem hai,hinglish,roads issue reported in Ward 5,roads,negative,high,Ward 5,ward,ward_5,0.75,cluster_roads_ward5
99,evt_099,Ward 7 me sanitation problem hai,hinglish,sanitation issue reported in Ward 7,sanitation,negative,medium,Ward 7,ward,ward_7,0.77,cluster_sanitation_ward7
100,evt_100,Ward 3 me roads problem hai,hinglish,roads issue reported in Ward 3,roads,negative,low,Ward 3,ward,ward_3,0.84,cluster_roads_ward3
101,evt_101,Ward 3 me healthcare problem hai,hinglish,healthcare issue reported in Ward 3,healthcare,negative,medium,Ward 3,ward,ward_3,0.78,cluster_healthcare_ward3
102,evt_102,water issue reported in Ward 3,en,water issue reported in Ward 3,water,negative,medium,Ward 3,ward,ward_3,0.93,cluster_water_ward3
103,evt_103,Ward 6 me sanitation problem hai,hinglish,sanitation issue reported in Ward 6,sanitation,negative,medium,Ward 6,ward,ward_6,0.73,cluster_sanitation_ward6
104,evt_104,sanitation issue reported in Ward 7,en,sanitation issue reported in Ward 7,sanitation,negative,high,Ward 7,ward,ward_7,0.92,cluster_sanitation_ward7
105,evt_105,Ward 8 me electricity problem hai,hinglish,electricity issue reported in Ward 8,electricity,negative,low,Ward 8,ward,ward_8,0.79,cluster_electricity_ward8
106,evt_106,water issue reported in Ward 5,en,water issue reported in Ward 5,water,negative,high,Ward 5,ward,ward_5,0.95,cluster_water_ward5
107,evt_107,Ward 4 me water problem hai,hinglish,water issue reported in Ward 4,water,negative,medium,Ward 4,ward,ward_4,0.75,cluster_water_ward4
108,evt_108,healthcare issue reported in Ward 1,en,healthcare issue reported in Ward 1,healthcare,negative,high,Ward 1,ward,ward_1,0.94,cluster_healthcare_ward1
109,evt_109,water issue reported in Ward 4,en,water issue reported in Ward 4,water,negative,medium,Ward 4,ward,ward_4,0.72,cluster_water_ward4
110,evt_110,water issue reported in Ward 5,en,water issue reported in Ward 5,water,negative,high,Ward 5,ward,ward_5,0.85,cluster_water_ward5
111,evt_111,sanitation issue reported in Ward 3,en,sanitation issue reported in Ward 3,sanitation,negative,medium,Ward 3,ward,ward_3,0.9,cluster_sanitation_ward3
112,evt_112,electricity issue reported in Ward 6,en,electricity issue reported in Ward 6,electricity,negative,medium,Ward 6,ward,ward_6,0.83,cluster_electricity_ward6
113,evt_113,Ward 1 me healthcare problem hai,hinglish,healthcare issue reported in Ward 1,healthcare,negative,medium,Ward 1,ward,ward_1,0.8,cluster_healthcare_ward1
114,evt_114,Ward 2 me roads problem hai,hinglish,roads issue reported in Ward 2,roads,negative,low,Ward 2,ward,ward_2,0.76,cluster_roads_ward2
115,evt_115,roads issue reported in Ward 4,en,roads issue reported in Ward 4,roads,negative,low,Ward 4,ward,ward_4,0.73,cluster_roads_ward4
116,evt_116,roads issue reported in Ward 6,en,roads issue reported in Ward 6,roads,negative,low,Ward 6,ward,ward_6,0.8,cluster_roads_ward6
117,evt_117,Ward 4 me electricity problem hai,hinglish,electricity issue reported in Ward 4,electricity,negative,high,Ward 4,ward,ward_4,0.92,cluster_electricity_ward4
118,evt_118,Ward 2 me water problem hai,hinglish,water issue reported in Ward 2,water,negative,high,Ward 2,ward,ward_2,0.7,cluster_water_ward2
119,evt_119,Ward 8 me healthcare problem hai,hinglish,healthcare issue reported in Ward 8,healthcare,negative,high,Ward 8,ward,ward_8,0.81,cluster_healthcare_ward8
120,evt_120,water issue reported in Ward 7,en,water issue reported in Ward 7,water,negative,low,Ward 7,ward,ward_7,0.76,cluster_water_ward7
121,evt_121,Ward 5 me healthcare problem hai,hinglish,healthcare issue reported in Ward 5,healthcare,negative,low,Ward 5,ward,ward_5,0.92,cluster_healthcare_ward5
122,evt_122,electricity issue reported in Ward 2,en,electricity issue reported in Ward 2,electricity,negative,medium,Ward 2,ward,ward_2,0.85,cluster_electricity_ward2
123,evt_123,Ward 6 me sanitation problem hai,hinglish,sanitation issue reported in Ward 6,sanitation,negative,low,Ward 6,ward,ward_6,0.77,cluster_sanitation_ward6
124,evt_124,water issue reported in Ward 7,en,water issue reported in Ward 7,water,negative,high,Ward 7,ward,ward_7,0.75,cluster_water_ward7
125,evt_125,sanitation issue reported in Ward 7,en,sanitation issue reported in Ward 7,sanitation,negative,high,Ward 7,ward,ward_7,0.71,cluster_sanitation_ward7
126,evt_126,water issue reported in Ward 3,en,water issue reported in Ward 3,water,negative,high,Ward 3,ward,ward_3,0.87,cluster_water_ward3
127,evt_127,Ward 2 me sanitation problem hai,hinglish,sanitation issue reported in Ward 2,sanitation,negative,high,Ward 2,ward,ward_2,0.71,cluster_sanitation_ward2
128,evt_128,Ward 8 me water problem hai,hinglish,water issue reported in Ward 8,water,negative,low,Ward 8,ward,ward_8,0.85,cluster_water_ward8
129,evt_129,sanitation issue reported in Ward 7,en,sanitation issue reported in Ward 7,sanitation,negative,low,Ward 7,ward,ward_7,0.73,cluster_sanitation_ward7
130,evt_130,healthcare issue reported in Ward 7,en,healthcare issue reported in Ward 7,healthcare,negative,high,Ward 7,ward,ward_7,0.74,cluster_healthcare_ward7
131,evt_131,sanitation issue reported in Ward 2,en,sanitation issue reported in Ward 2,sanitation,negative,medium,Ward 2,ward,ward_2,0.77,cluster_sanitation_ward2
132,evt_132,Ward 4 me water problem hai,hinglish,water issue reported in Ward 4,water,negative,medium,Ward 4,ward,ward_4,0.81,cluster_water_ward4
133,evt_133,healthcare issue reported in Ward 8,en,healthcare issue reported in Ward 8,healthcare,negative,low,Ward 8,ward,ward_8,0.92,cluster_healthcare_ward8
134,evt_134,Ward 3 me electricity problem hai,hinglish,electricity issue reported in Ward 3,electricity,negative,low,Ward 3,ward,ward_3,0.8,cluster_electricity_ward3
135,evt_135,electricity issue reported in Ward 1,en,electricity issue reported in Ward 1,electricity,negative,low,Ward 1,ward,ward_1,0.87,cluster_electricity_ward1
136,evt_136,sanitation issue reported in Ward 1,en,sanitation issue reported in Ward 1,sanitation,negative,medium,Ward 1,ward,ward_1,0.83,cluster_sanitation_ward1
137,evt_137,electricity issue reported in Ward 2,en,electricity issue reported in Ward 2,electricity,negative,high,Ward 2,ward,ward_2,0.74,cluster_electricity_ward2
138,evt_138,Ward 8 me healthcare problem hai,hinglish,healthcare issue reported in Ward 8,healthcare,negative,high,Ward 8,ward,ward_8,0.89,cluster_healthcare_ward8
139,evt_139,Ward 4 me water problem hai,hinglish,water issue reported in Ward 4,water,negative,medium,Ward 4,ward,ward_4,0.8,cluster_water_ward4
140,evt_140,Ward 1 me roads problem hai,hinglish,roads issue reported in Ward 1,roads,negative,medium,Ward 1,ward,ward_1,0.7,cluster_roads_ward1
141,evt_141,roads issue reported in Ward 8,en,roads issue reported in Ward 8,roads,negative,low,Ward 8,ward,ward_8,0.93,cluster_roads_ward8
142,evt_142,Ward 6 me water problem hai,hinglish,water issue reported in Ward 6,water,negative,low,Ward 6,ward,ward_6,0.94,cluster_water_ward6
143,evt_143,healthcare issue reported in Ward 1,en,healthcare issue reported in Ward 1,healthcare,negative,high,Ward 1,ward,ward_1,0.73,cluster_healthcare_ward1
144,evt_144,water issue reported in Ward 8,en,water issue reported in Ward 8,water,negative,low,Ward 8,ward,ward_8,0.77,cluster_water_ward8
145,evt_145,healthcare issue reported in Ward 6,en,healthcare issue reported in Ward 6,healthcare,negative,medium,Ward 6,ward,ward_6,0.93,cluster_healthcare_ward6
146,evt_146,healthcare issue reported in Ward 7,en,healthcare issue reported in Ward 7,healthcare,negative,medium,Ward 7,ward,ward_7,0.94,cluster_healthcare_ward7
147,evt_147,healthcare issue reported in Ward 8,en,healthcare issue reported in Ward 8,healthcare,negative,medium,Ward 8,ward,ward_8,0.81,cluster_healthcare_ward8
148,evt_148,sanitation issue reported in Ward 1,en,sanitation issue reported in Ward 1,sanitation,negative,high,Ward 1,ward,ward_1,0.74,cluster_sanitation_ward1
149,evt_149,healthcare issue reported in Ward 4,en,healthcare issue reported in Ward 4,healthcare,negative,high,Ward 4,ward,ward_4,0.78,cluster_healthcare_ward4
150,evt_150,Ward 8 me electricity problem hai,hinglish,electricity issue reported in Ward 8,electricity,negative,high,Ward 8,ward,ward_8,0.75,cluster_electricity_ward8
151,evt_151,Ward 4 me electricity problem hai,hinglish,electricity issue reported in Ward 4,electricity,negative,high,Ward 4,ward,ward_4,0.78,cluster_electricity_ward4
152,evt_152,healthcare issue reported in Ward 1,en,healthcare issue reported in Ward 1,healthcare,negative,high,Ward 1,ward,ward_1,0.85,cluster_healthcare_ward1
153,evt_153,healthcare issue reported in Ward 5,en,healthcare issue reported in Ward 5,healthcare,negative,high,Ward 5,ward,ward_5,0.85,cluster_healthcare_ward5
154,evt_154,Ward 4 me water problem hai,hinglish,water issue reported in Ward 4,water,negative,low,Ward 4,ward,ward_4,0.89,cluster_water_ward4
155,evt_155,healthcare issue reported in Ward 2,en,healthcare issue reported in Ward 2,healthcare,negative,low,Ward 2,ward,ward_2,0.75,cluster_healthcare_ward2
156,evt_156,roads issue reported in Ward 4,en,roads issue reported in Ward 4,roads,negative,medium,Ward 4,ward,ward_4,0.9,cluster_roads_ward4
157,evt_157,Ward 5 me sanitation problem hai,hinglish,sanitation issue reported in Ward 5,sanitation,negative,low,Ward 5,ward,ward_5,0.73,cluster_sanitation_ward5
158,evt_158,healthcare issue reported in Ward 8,en,healthcare issue reported in Ward 8,healthcare,negative,low,Ward 8,ward,ward_8,0.85,cluster_healthcare_ward8
159,evt_159,healthcare issue reported in Ward 2,en,healthcare issue reported in Ward 2,healthcare,negative,low,Ward 2,ward,ward_2,0.86,cluster_healthcare_ward2
160,evt_160,water issue reported in Ward 6,en,water issue reported in Ward 6,water,negative,medium,Ward 6,ward,ward_6,0.84,cluster_water_ward6
161,evt_161,roads issue reported in Ward 2,en,roads issue reported in Ward 2,roads,negative,low,Ward 2,ward,ward_2,0.82,cluster_roads_ward2
162,evt_162,water issue reported in Ward 4,en,water issue reported in Ward 4,water,negative,low,Ward 4,ward,ward_4,0.91,cluster_water_ward4
163,evt_163,roads issue reported in Ward 6,en,roads issue reported in Ward 6,roads,negative,low,Ward 6,ward,ward_6,0.82,cluster_roads_ward6
164,evt_164,water issue reported in Ward 6,en,water issue reported in Ward 6,water,negative,medium,Ward 6,ward,ward_6,0.82,cluster_water_ward6
165,evt_165,healthcare issue reported in Ward 2,en,healthcare issue reported in Ward 2,healthcare,negative,low,Ward 2,ward,ward_2,0.94,cluster_healthcare_ward2
166,evt_166,healthcare issue reported in Ward 3,en,healthcare issue reported in Ward 3,healthcare,negative,high,Ward 3,ward,ward_3,0.93,cluster_healthcare_ward3
167,evt_167,sanitation issue reported in Ward 3,en,sanitation issue reported in Ward 3,sanitation,negative,medium,Ward 3,ward,ward_3,0.79,cluster_sanitation_ward3
168,evt_168,roads issue reported in Ward 4,en,roads issue reported in Ward 4,roads,negative,medium,Ward 4,ward,ward_4,0.74,cluster_roads_ward4
169,evt_169,Ward 2 me water problem hai,hinglish,water issue reported in Ward 2,water,negative,medium,Ward 2,ward,ward_2,0.88,cluster_water_ward2
170,evt_170,Ward 5 me water problem hai,hinglish,water issue reported in Ward 5,water,negative,medium,Ward 5,ward,ward_5,0.86,cluster_water_ward5
171,evt_171,water issue reported in Ward 7,en,water issue reported in Ward 7,water,negative,medium,Ward 7,ward,ward_7,0.8,cluster_water_ward7
172,evt_172,electricity issue reported in Ward 8,en,electricity issue reported in Ward 8,electricity,negative,high,Ward 8,ward,ward_8,0.78,cluster_electricity_ward8
173,evt_173,Ward 6 me sanitation problem hai,hinglish,sanitation issue reported in Ward 6,sanitation,negative,high,Ward 6,ward,ward_6,0.93,cluster_sanitation_ward6
174,evt_174,Ward 7 me roads problem hai,hinglish,roads issue reported in Ward 7,roads,negative,high,Ward 7,ward,ward_7,0.7,cluster_roads_ward7
175,evt_175,Ward 2 me water problem hai,hinglish,water issue reported in Ward 2,water,negative,medium,Ward 2,ward,ward_2,0.81,cluster_water_ward2
176,evt_176,Ward 5 me healthcare problem hai,hinglish,healthcare issue reported in Ward 5,healthcare,negative,low,Ward 5,ward,ward_5,0.87,cluster_healthcare_ward5
177,evt_177,Ward 6 me roads problem hai,hinglish,roads issue reported in Ward 6,roads,negative,high,Ward 6,ward,ward_6,0.78,cluster_roads_ward6
178,evt_178,Ward 8 me roads problem hai,hinglish,roads issue reported in Ward 8,roads,negative,medium,Ward 8,ward,ward_8,0.83,cluster_roads_ward8
179,evt_179,Ward 6 me healthcare problem hai,hinglish,healthcare issue reported in Ward 6,healthcare,negative,medium,Ward 6,ward,ward_6,0.81,cluster_healthcare_ward6
